RDA label,RDA IRI,pseudo-Turtle,Kiegel syntax
type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,rdf:type bf:Work .,rdf:type=<http://id.loc.gov/ontologies/bibframe/Work>
has content type RDA 6.9,http://rdaregistry.info/Elements/e/P20001,"bf:content <P20001value> .
# with literal value
bf:content [ a bf:Content ;
   rdfs:label ""P20001value"" ] .
","content*
or
content >> Content > rdfs:label"
has identifier for expression RDA 6.13,http://rdaregistry.info/Elements/e/P20002,"
bf:identifiedBy <P20002value> .
# with literal value:
bf:identifiedBy [ a bf:Identifier ;
   rdf:value ""P20002value"" ] .
# with literal value and source:
bf:identifiedBy [ a bf:Identifier ;
   rdf:value ""P20002value"" ;
   bf:source [ a bf:Source ;
      rdfs:label ""source name"" ] .
# note: with literal value:
    #if possible type the bf:Identifier node as a subclass of bf:Identifier","identifiedBy*
or
identifiedBy >> Identifier > rdf:value
or
identifiedBy >> Identifier > rdf:value > source >> Source > rdfs:label
or
identifiedBy >> Identifier.subclass > rdf:value"
has other distinguishing characteristic of expression RDA 6.12,http://rdaregistry.info/Elements/e/P20003,"bf:note [ a bf:Note ;
   rdfs:label ""P20003value"" ;
   bf:noteType ""other distinguishing characteristic of expression"" ] .","note >> Note > rdfs:label > noteType=""other distinguishing characteristic of expression"""
has date of capture RDA 7.11.3,http://rdaregistry.info/Elements/e/P20004,"bf:capture <P20004> .
# note: with literal value:
bf:capture [ a bf:Capture ;
   rdf:value ""P20004value"" ] .","capture*
or
capture >> Capture > rdf:value"
has award RDA 7.28,http://rdaregistry.info/Elements/e/P20005,"bf:awards ""P20005value"" .",awards
has language of expression RDA 6.11,http://rdaregistry.info/Elements/e/P20006,"bf:language <P20006value> .
# with literal value
bf:language [ a bf:Language ;
   rdfs:label ""P20006value"" ] .","language*
or
language >> Language > rdfs:label"
is adapted as motion picture expression RDA 24.5,http://rdaregistry.info/Elements/e/P20009,"bf:hasDerivative <P20009value> .
# with literal value
bf:hasDerivative [ a bf:Work ;
    rdfs:label ""P20009value"" ] .","hasDerivative*
or
hasDerivative >> Work > rdfs:label"
has note on changes in content characteristics RDA 7.29.2,http://rdaregistry.info/Elements/e/P20010,"bf:note [ a bf:Note ;
   rdfs:label ""P20010value"" ;
   bf:noteType ""note on changes in content characteristics"" ] .","note >> Note > rdfs:label > noteType=""note on changes in content characteristics"""
has conductor agent RDA 18.5,http://rdaregistry.info/Elements/e/P20011,"bf:contribution [ a bf:Contribution ;
   bf:role <http://id.loc.gov/vocabulary/relators/cnd> ] ;
   bf:agent [ a bf:Agent ;
      rdfs:label ""P20011value"" ] ] .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:role <http://id.loc.gov/vocabulary/relators/cnd>
   bf:agent <P20011value> ] .","contribution >> Contribution > role=<http://id.loc.gov/vocabulary/relators/cnd> > agent >> Agent > rdfs:label
or
contribution >> Contribution > agent* > role=<http://id.loc.gov/vocabulary/relators/cnd>"
has actor agent RDA 18.5,http://rdaregistry.info/Elements/e/P20012,"bf:contribution [ a bf:Contribution ;
   bf:agent [ a bf:Agent ;
      rdfs:label ""P20012value"" ] ;
   bf:role <http://id.loc.gov/vocabulary/relators/act> ] .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:agent <P20012value> ;
   bf:role <http://id.loc.gov/vocabulary/relators/act> ] .","contribution >> Contribution > agent >> Agent > rdfs:label ; > role=<http://id.loc.gov/vocabulary/relators/act>
or
contribution >> Contribution > agent* > role=<http://id.loc.gov/vocabulary/relators/act>"
has onscreen presenter agent RDA 18.5,http://rdaregistry.info/Elements/e/P20013,"bf:contribution [ a bf:Contribution ;
   bf:agent [ a bf:Agent;
      rdfs:label ""P20013value"" ] ;
   bf:role <http://id.loc.gov/vocabulary/relators/osp> ] .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:agent <P20013value> ;
   bf:role <http://id.loc.gov/vocabulary/relators/osp> ] .","contribution >> Contribution > agent >> Agent > rdfs:label ; > role=<http://id.loc.gov/vocabulary/relators/osp>
or
contribution >> Contribution > agent* > role=<http://id.loc.gov/vocabulary/relators/osp>"
