RDA label,RDA IRI,pseudo-Turtle,Kiegel syntax
type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,rdf:type bf:Item .,rdf:type=<http://id.loc.gov/ontologies/bibframe/Item>
has identifier for item (RDA 2.20),http://rdaregistry.info/Elements/i/P40001,"

bf:identifiedBy <p40001value> .
# with literal value:
bf:identifiedBy [ a bf:Identifier ;
   rdf:value ""P40001value"" ] .
# with literal value and source:
bf:identifiedBy [ a bf:Identifier ;
   rdf:value ""P40001value"" ;
   bf:source [ a bf:Source ;
      rdfs:label ""source name"" ] .
# note: with literal value:
  #if possible type the bf:Identifier node as a subclass of bf:Identifier","identifierBy*
or
identifiedBy >> Identifier > rdf:value
or
identifiedBy >> Identifier > rdf:value > source >> Source > rdfs:label
or
identifiedBy >> Identifier.subclass > rdf:value
"
has modification of item (RDA 3.22),http://rdaregistry.info/Elements/i/P40003,"bf:note [ a nf:Note ;
  rdfs:label ""P40003value"" ;
  bf:noteType ""modification"" ] .","note >> Note > rdfs:label > noteType=""modification"""
has collector agent (RDA 18.5),http://rdaregistry.info/Elements/i/P40004,"bf:contribution [ a bf:Contribution ;
   bf:agent [ a bf:Agent ;
      rdfs:label ""P40004value"" ] ;
   bf:role <http://id.loc.gov/vocabulary/relators/col> ] .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:agent <P40004value> ;
   bf:role <http://id.loc.gov/vocabulary/relators/col> ] .","contribution >> Contribution > agent >> Agent > rdfs:label ; > role=<http://id.loc.gov/vocabulary/relators/col>
or
contribution >> Contribution > agent* > role=<http://id.loc.gov/vocabulary/relators/col>"
has collection registrar agent (RDA 18.5),http://rdaregistry.info/Elements/i/P40005,"bf:contribution [ a bf:Contribution ;
   bf:agent [ a bf:Agent ;
      rdfs:label ""P40005value"" ] ;
   bf:role <http://id.loc.gov/vocabulary/relators/cor> ] .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:agent <P40005value> ;
   bf:role <http://id.loc.gov/vocabulary/relators/cor> ] .","contribution >> Contribution > agent >> Agent > rdfs:label ; > role=<http://id.loc.gov/vocabulary/relators/cor>
or
contribution >> Contribution > agent* > role=<http://id.loc.gov/vocabulary/relators/cor>"
has depositor agent (RDA 18.5),http://rdaregistry.info/Elements/i/P40006,"bf:contribution [ a bf:Contribution ;
   bf:agent [ a bf:Agent ;
      rdfs:label ""P40006value"" ] ;
   bf:role <http://id.loc.gov/vocabulary/relators/dpt> ] .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:agent <P40006value> ;
   bf:role <http://id.loc.gov/vocabulary/relators/dpt> ] .","contribution >> Contribution > role=<http://id.loc.gov/vocabulary/relators/dpt> > agent >> Agent > rdfs:label
or
contribution >> Contribution > agent* > role=<http://id.loc.gov/vocabulary/relators/dpt>"
has donor agent (RDA 18.5),http://rdaregistry.info/Elements/i/P40007,"bf:contribution [ a bf:Contribution ;
   bf:agent [ a bf:Agent ;
      rdfs:label ""P40007value"" ] ;
   bf:role <http://id.loc.gov/vocabulary/relators/dnr> ] .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:agent <P40007value> ;
   bf:role <http://id.loc.gov/vocabulary/relators/dnr> ] .","contribution >> Contribution > role=<http://id.loc.gov/vocabulary/relators/dnr> > agent >> Agent > rdfs:label
or
contribution >> Contribution > agent* > role=<http://id.loc.gov/vocabulary/relators/dnr>"
has seller agent (RDA 18.5),http://rdaregistry.info/Elements/i/P40008,"bf:contribution [ a bf:Contribution ;
   bf:agent [ a bf:Agent ;
      rdfs:label ""P40008value"" ] ;
   bf:role <http://id.loc.gov/vocabulary/relators/sll> ] .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:agent <P40008value> ;
   bf:role <http://id.loc.gov/vocabulary/relators/sll> ] .","contribution >> Contribution > role=<http://id.loc.gov/vocabulary/relators/sll> > agent >> Agent > rdfs:label
or
contribution >> Contribution > agent* > role=<http://id.loc.gov/vocabulary/relators/sll>"
is contained in item (RDA 24.5),http://rdaregistry.info/Elements/i/P40009,"bf:partOf <P40009value> .
#with literal value
bf:partOf [ a bf:Item ;
  rdfs:label ""P40009value"" ] .","partOf*
or
partOf >> Item > rdfs:label"
has note on dimensions of item (RDA 3.22.3),http://rdaregistry.info/Elements/i/P40010,"bf:note [ a bf:Note ;
   rdfs:label ""P40010value"" ;
   bf:noteType ""dimensions"" ] .","note >> Note > rdfs:label > noteType=""dimensions"""
