RDA label,RDA IRI,pseudo-Turtle,Kiegel syntax
type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,rdf:type bf:Instance .,rdf:type=<http://id.loc.gov/ontologies/bibframe/Instance>
has carrier type (RDA 3.3),http://rdaregistry.info/Elements/m/P30001,"bf:carrier [ a bf:Carrier ;
   rdfs:label ""P30001value"" ] .
# with IRI value
bf:carrier <P30001value> .","carrier >> Carrier > rdfs:label
or
carrier*"
has media type (RDA 3.2),http://rdaregistry.info/Elements/m/P30002,"bf:media [ a bf:Media ;
   rdfs:label ""P30002value"" ] .
# with IRI value
bf:media <P30002value> .","media >> Media > rdfs:label
or
media*"
has mode of issuance (RDA 2.13),http://rdaregistry.info/Elements/m/P30003,"bf:issuance <P30003value> .
# with literal value
bf:issuance [ a bf:Issuance ;
   rdfs:label ""P30003value"" ] .","issuance*
or
issuance >> Issuance > rdfs:label "
has identifier for manifestation (RDA 2.15),http://rdaregistry.info/Elements/m/P30004,"

bf:identifiedBy <P30004value> .
# with literal value:
bf:identifiedBy [ a bf:Identifier ;
   rdf:value ""P30004value"" ] .
# with literal value and source:
bf:identifiedBy [ a bf:Identifier ;
   rdf:value ""P30004value"" ;
   bf:source [ a bf:Source ;
      rdfs:label ""source name"" ] .
# note: with literal value:
  #if possible type the bf:Identifier node as a subclass of bf:Identifier""","identifierBy*
or
identifiedBy >> Identifier > rdf:value
or
identifiedBy >> Identifier > rdf:value > source >> Source > rdfs:label
or
identifiedBy >> Identifier.subclass > rdf:value
"
has preferred citation (RDA 2.16),http://rdaregistry.info/Elements/m/P30005,"bf:preferredCitation ""P30005value"" .",preferredCitation
has regional encoding (RDA 3.19.6),http://rdaregistry.info/Elements/m/P30006,"bf:digitalCharacteristic [ a bf:RegionalEncoding ;
   rdfs:label ""P30006value"" ] .
# with IRI value
bf:digitalCharacteristic <P30006value> .","digitalCharacteristic >> RegionalEncoding > rdfs:label
or
digitalCharacteristic*"
has copyright date (RDA 2.11),http://rdaregistry.info/Elements/m/P30007,"
bf:copyrightDate ""P30007value"" .",copyrightDate
has date of distribution (RDA 2.9.6),http://rdaregistry.info/Elements/m/P30008,"
bf:provisionActivity [ a bf:Distribution ;
   bf:date ""P30008value"" ] .",provisionActivity >> Distribution > date
has date of production (RDA 2.7.6),http://rdaregistry.info/Elements/m/P30009,"bf:provisionActivity [ a bf:Production ;
   bf:date ""P30009value"" ] .",provisionActivity >> Production > date
