RDA label,RDA IRI,pseudo-Turtle,Kiegel syntax
type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,rdf:type bf:Work .,rdf:type=<http://id.loc.gov/ontologies/bibframe/Work>
has respondent (RDA 18.5),http://rdaregistry.info/Elements/w/P10001,"bf:contribution [ a bf:Contribution ;
   bf:role <http://id.loc.gov/vocabulary/relators/rsp> ;
   bf:agent [ a bf:Person;
      rdfs:label ""P10001value"" ] ] .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:role <http://id.loc.gov/vocabulary/relators/rsp> ;
   bf:agent <P10001value> ] .","contribution >> Contribution > role=<http://id.loc.gov/vocabulary/relators/rsp> > agent >> Person > rdfs:label
or
contribution >> Contribution > agent* > role=<http://id.loc.gov/vocabulary/relators/rsp>"
has identifier for work (RDA 6.8),http://rdaregistry.info/Elements/w/P10002,"bf:identifiedBy <P10002value> .
# with literal value
bf:identifiedBy [ a bf:Identifier ;
   rdf:value ""P10002value"" ] .
# with literal value and source
bf:identifiedBy [ a bf:Identifier ;
   rdf:value ""P10002value"" ;
   bf:source [ a bf:Source ;
      rdfs:label ""source name"" ] ] .
# note: with literal value:
  #if possible type the bf:Identifier node as a subclass of bf:Identifier","identifiedBy*
or
identifiedBy >> Identifier > rdf:value
or
identifiedBy >> Identifier > rdf:value > source >> Source > rdfs:label
or
identifiedBy >> Identifier.subclass > rdf:value"
has category of work (Genre lookup)(RDA 6.3),http://rdaregistry.info/Elements/w/P10004,"bf:genreForm <P10004value> .
# with literal value
bf:genreForm [ a bf:GenreForm ;
   rdfs:label ""P10004value"" ] .","genreForm*
or
genreForm >> GenreForm > rdfs:label"
has appellee corporate body (RDA 18.5),http://rdaregistry.info/Elements/w/P10005,"bf:contribution [ a bf:Contribution ;
   bf:role <http://id.loc.gov/vocabulary/relators/ape> ;
   bf:agent [ a bf:Organization ;
      rdfs:label ""P10005value"" ] ] .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:role <http://id.loc.gov/vocabulary/relators/ape> ;
   bf:agent <P10005value> ] .","contribution >> Contribution > role=<http://id.loc.gov/vocabulary/relators/ape> > agent >> Organization > rdfs:label
or
contribution >> Contribution > agent* > role=<http://id.loc.gov/vocabulary/relators/ape>"
has degree granting institution (RDA 18.5),http://rdaregistry.info/Elements/w/P10006,"bf:dissertation [ a bf:Dissertation ;
   bf:grantingInstitution <P10006value> ] .
# with literal value
bf:dissertation [ a bf:Dissertation ;
   bf:grantingInstitution [ a bf:Organization ;
      rdfs:label ""P10006value"" ] ] .","dissertation >> Dissertation > grantingInstitution*
or
dissertation >> Dissertation > grantingInstitution >> Organization > rdfs:label"
has hosting institution (RDA 18.5),http://rdaregistry.info/Elements/w/P10007,"bf:contribution [ a bf:Contribution ;
   bf:role <http://id.loc.gov/vocabulary/relators/his> ;
   bf:agent [ a bf:Organization ;
      rdfs:label ""P10007value"" ] ] .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:role <http://id.loc.gov/vocabulary/relators/his> ;
   bf:agent <P10007value> ] .","contribution >> Contribution > role=<http://id.loc.gov/vocabulary/relators/his> > agent >> Organization > rdfs:label
or
contribution >> Contribution > agent* > role=<http://id.loc.gov/vocabulary/relators/his>"
has production company (RDA 18.5),http://rdaregistry.info/Elements/w/P10008,"bf:contribution [ a bf:Contribution ;
   bf:agent [ a bf:Organization ;
      rdfs:label ""P10008value"" ] ;
   bf:role <http://id.loc.gov/vocabulary/relators/prn> ] .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:agent <P10008value> ;
   bf:role <http://id.loc.gov/vocabulary/relators/prn> ] . ","contribution >> Contribution > agent >> Organization > rdfs:label ; > role=<http://id.loc.gov/vocabulary/relators/prn>
or
contribution >> Contribution > agent* > role=<http://id.loc.gov/vocabulary/relators/prn>"
has appellant corporate body (RDA 18.5),http://rdaregistry.info/Elements/w/P10009,"bf:contribution [ a bf:Contribution ;
   bf:role <http://id.loc.gov/vocabulary/relators/apl> ;
   bf:agent [ a bf:Organization ;
      rdfs:label ""P10009value"" ] ] .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:role <http://id.loc.gov/vocabulary/relators/apl> ;
   bf:agent <P10009value> ] .","contribution >> Contribution > role=<http://id.loc.gov/vocabulary/relators/apl> > agent >> Organization > rdfs:label
or
contribution >> Contribution > agent* > role=<http://id.loc.gov/vocabulary/relators/apl>"
has plaintiff corporate body (RDA 18.5),http://rdaregistry.info/Elements/w/P10010,"bf:contribution [ a bf:Contribution ;
   bf:role <http://id.loc.gov/vocabulary/relators/ptf> ;
   bf:agent [ a bf:Organization ;
      rdfs:label ""P10010value"" ] ] .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:role <http://id.loc.gov/vocabulary/relators/ptf> ;
   bf:agent <P10010value> ] .","contribution >> Contribution > role=<http://id.loc.gov/vocabulary/relators/ptf> > agent >> Organization > rdfs:label
or
contribution >> Contribution > agent* > role=<http://id.loc.gov/vocabulary/relators/ptf>"
