original_RDA_identifier,equivalent_BF_identifier
003c0e59-9ab1-4fc2-8522-1a7b78601fef,cd3263d7-5c53-4397-84f1-2ef4e8278398
018e4c97-fb45-4333-9e8e-6cc0584e49ac,b62ae567-7d10-4c2c-a404-c88101598006
032cba08-e735-425c-bc88-9433d2616226,b453c7ce-c81e-4741-afb1-170bae0d264a
0894a8b3-b110-4705-9cb4-9ae1009ab0a3,6f158ba9-5cdb-4594-94a7-2295cab8df8d
0a4ea663-988e-474b-a25e-659b935b65a9,4f1f32b7-8796-4f35-b19a-ba6d6935ab83
0b6addf4-d44d-4502-a637-a50e70420b80,d6fd7e9f-209f-45f9-b7ad-6e51febc9841
0c687772-a7be-40e6-82c0-f00c4c59a319,69631024-b103-432c-a5c6-9363731457dc
0eca0437-74d5-43ee-a46e-f935800fd4a2,70aef204-9a86-48f3-aff3-3ad27dd1c2ad
1079c5c0-7ecd-4fb0-a090-f5a4bcabdf94,9486a5c7-2a7e-47b4-9306-f10404054cbe
1204a5b5-49c0-40b0-b7ce-cdee99e8e54b,e51ccfa4-45f2-4889-87dd-42c7138ffa71
1383668f-9764-4092-a900-6d24dc7b6954,d4ba7dab-0a6c-4bda-ba3b-7493e55533a3
15381424-2eda-4d58-ad47-b1029e784398,ffebaf43-6b4a-4a76-8627-abd034c20964
16a61969-3b31-4e09-bba0-0319a13895d1,3564a0e2-dba4-4bb7-9fac-c3ff36b977e3
16ac9fa7-4e65-44ca-99f0-c19931503e64,5804a5e9-fbe0-4d6c-9d74-03d85aa9e270
18435621-8e0f-4e45-b7df-890f0114d5ce,cf4835c9-024b-4b8a-898d-cf91ae32a60d
199fd36d-eb47-4a1a-849b-2de1549e24ea,4e721f94-c4b5-4c55-bff1-2bb76ebc52b8
1a09069d-8165-42ae-bfc0-f6b269b4d34b,893da0fc-3def-49b8-af8f-6509356844f9
1f90db66-a3f9-49bf-aaa0-ec3675df4027,9000b3ad-9835-4671-a008-8c1cc56df4f0
1fcacdb5-8245-4f0e-9900-0b080d38d8a2,0c6649fe-f528-4483-9619-041096d9c74b
1ff786f6-7674-49f7-a4e3-23a15c18f398,38b1cbd0-f255-4d9c-bc15-1fd09cb8ecf7
20492d30-7f5a-48fc-9857-ca975c586494,7f492bb5-326c-4dad-9ef1-438a337b32c3
204dc35b-d74a-45f6-ba66-ff5cbe3a75b3,f65a1a27-cb7b-479e-883d-3ac621a317c5
20578541-d001-4b6a-818c-413ee8d77b4a,fa5618bb-bff3-4b61-8eaa-1a538566aef5
224f348e-85a0-4832-9d42-f779a37457da,2815627f-7065-47d0-889f-478793fa9c71
2370edaa-0c6e-4d0c-baef-994235d4f86c,88fe5d6d-a329-4950-957a-0f1fb3215275
2442f2d5-0841-4384-b08e-bd25c3a3d4e9,c9ce7900-c8bb-401f-ab2f-db654f3b4aa9
24cd1b8d-48fe-43dc-95d9-d64df2032f24,a18472ab-21b2-446b-8124-13fd60875097
251393a8-33fb-44fd-827e-a75328c3fbaa,072cad81-d779-4c44-ad47-e7b63439bef0
25406ec2-3893-45e6-b857-064fc606657d,6f716cc1-62a6-4ddd-ad21-1f878ace512e
25a341e3-305a-49a9-8322-5a45a6227535,e0f98aa4-616a-4d9d-935b-91c835028cf8
270833dc-b0e1-4402-a5fa-df97166839d0,682db81e-9e0f-4ba0-9d78-350947bb95b1
29aae6bc-a3e0-4dcd-8ef7-5340615690a2,63ee8e79-4d48-41f1-82a9-4847bfd5905e
2b0e847a-5fad-4150-9612-aec9f9474096,cd0132a1-0e13-4037-92ac-ea7188e35a4f
2be1aad1-4cae-4a38-82aa-896480e41a79,4c26d4c8-c3e0-4850-8da4-f06b0aa6a316
2f6fce73-629b-4987-9af6-b496e4c8091c,642dd0f5-0c4d-4476-86f2-5905ab1888e7
3c583cca-5a19-4774-bc93-bdcb63a34e09,3a64c330-3c1f-49c9-9b87-bcca9ac92fab
3caa00f9-8660-4a48-bf78-373a235eeecb,684f02dc-fb52-4bd6-a8fc-e26ad6b69f4d
3dafb07b-ff14-4a67-b53e-822d97ad644a,97de0505-e23a-485e-b7df-9c50911e76b7
3eb2f65f-7238-4b34-95ff-3fa36b67c667,ac38e3ac-3ff6-4c88-a1e9-f55a6fc5e12a
3f51c956-0a93-4dc6-b16c-cecee7693db3,4a1e0b3d-f654-423c-b7a4-db9dd58a4d57
3fc91d7c-c5b9-413d-a0c0-4734672b5602,1e816a75-11b0-4a64-9e0b-2f16ecc2e2a9
40a13f9e-9a28-4d20-91db-d6dab4284bf6,236d9d0c-dcfe-4946-bc3f-1dfd1e73310c
420d9d87-de67-45fd-8367-e1c451ef725a,c5d13843-7895-4ec0-bf9b-2a33934894b1
4488232a-2514-409b-9a5e-95f423f1a1ae,8061df85-edf1-4ff9-9b83-5bd530440082
44978c67-bc3f-40a1-99cb-3f360ff4dde2,5d034331-6916-4e12-a618-bb062ec70949
47396f92-ff77-4480-a26d-8e7c73b83043,98097cce-3567-4671-8646-694eeb16e254
49412d8a-a5b9-4f20-b797-f78a927cacce,d9dd75be-d058-4273-ae54-e520a9375d96
4a80857f-53bd-4aff-8ea3-29b5e936e4d4,6b1dc615-2c0b-4311-95d9-14be975ebc72
5112fda2-2a63-4d0a-8b02-1e7da4ebd85b,36653ce5-9b18-4401-9221-17cedb5f265e
53ac989d-d13d-402a-9f6c-03d165f91319,47191459-2d44-4819-b9d3-eed76f310ee5
54c03745-0b0a-4211-8e50-c1a765be0309,15c62711-12ce-440c-a1cd-8bb5e5d1da09
54c76af5-659d-49c4-9486-18e693ccdb5a,f9d461f5-4a2a-44e0-a9db-836ec5991ca0
563cdff1-ce5d-417e-a282-a98d710c1b14,7ec8a6de-587d-43ac-be35-216691c54324
59020c14-ea04-4403-8d6b-2e3a8f48b3c7,151868e8-e425-4862-bd83-cdbf170d0380
59122c7c-302b-4a95-9201-717356a1350b,a3cc6651-bf54-4f57-91cb-0420ee224bc2
5a35c300-05ca-407c-b72e-d482b9496493,95a859cb-dcc7-451f-b614-8beb5986565e
5abb3bdf-0109-4b77-b984-f73900ae981e,da43a9d2-1b87-4933-bb0b-540318e04cc0
5ad4add2-2dc2-456a-ab7b-fa7678abba86,1b3c1b2d-cb09-4053-9b84-65029d71c80d
5b20e066-5723-4067-a8e5-799342f90192,b99fd829-efbc-474b-adf4-a7385a6a9965
5c8ce526-e275-4f74-93ef-0ffc56389cc5,b457b46a-026c-4383-b336-bd24828feab1
5f1dc2d1-1b6c-4c5c-a993-910c65003954,6364a7d6-74cd-4dca-9eed-43796acd1836
60b13770-473e-4dc9-bedf-de4e6c5130f5,ca06dd9d-4a49-4cee-ae9a-aea97c0c3b92
61231191-9b85-4ba4-aa90-42a64e6bac9c,daa86155-f134-437f-957d-d902d2d884fa
64af3c0e-5fdd-4727-b207-2b7beeaeabf4,6903bd4e-e759-4373-ab61-617a3a1d7fd0
66de3ff5-2b1c-41b6-a25b-8a30b6a2b69f,d807abde-de17-415a-9fdc-fd5386c11966
6997f169-0deb-4355-b64e-5485fe4a48b8,b9e2bf2b-22cd-41bc-a4ce-76a1cad36120
6a36c334-c396-4dbb-b7da-9edf8de7a2ce,4d546a52-3b62-488e-b85e-f823a819de7d
6b974e4c-0d1d-4a7a-b750-a5d4cb54ffd9,90e506fb-0fc9-4fb4-8452-a89b3f478f1a
71b26abb-43ba-412e-a965-67e06fefedc2,64749e2b-1e78-4f62-a9be-7671ebedfd62
7580672d-ace4-4a41-b89a-8a0b8631e586,376ef4d1-9e7a-4a99-ae94-fff271b440d6
7931f622-717d-43ae-8121-ccffd0e47149,f06faaf1-b4b4-4497-85ab-091071d908ec
7a9c8d69-4c3c-468c-aab9-0bee9026d145,878c79e5-56b9-4080-b5cb-ed168e13abd9
7cffe198-f453-409b-b985-9d5660c7272c,fd7ade91-9e47-437c-b7c5-54febbaf5b7a
7e1f6ae6-a6b0-493c-aeb1-a1fab52be1e9,b92669d1-c3b4-4bb7-a298-687182075b76
7e72cdce-2517-4bd5-be85-5836273f0e31,26494af8-6cc1-47a5-b92a-376d735b2059
7f1ae484-c6e1-424e-9e18-a91e1c345161,cf0519c3-d310-4552-b381-82edd0aaf203
82f4a21f-79c9-4370-b40e-16dd363466bf,f0c6c0b8-322e-4599-b770-7d3dde483e74
86f61d7c-2742-4716-bb0f-9f2b82111548,edfa792d-f226-4c95-a488-f93b5adc4a74
877155d9-bc9f-437f-991a-8a232932f580,da9c3a2d-134c-44c5-89d1-85c79d328c82
88ae0700-dd55-4089-add1-314469a85c12,666d4353-6780-44dd-a8e4-9f395f615242
897e29fe-4ad6-4692-a890-f6657971ce22,fe998982-d930-41bb-8ab4-8f331a4b8b16
8a0d5042-8b2d-4287-b228-612e456f0fe5,44d8d983-2fee-49e5-86f7-db255037e31f
8ab49fc5-0df2-4ee3-8c63-69cf51cf65b8,141f1cfe-67cf-4c36-82a7-0f33eac62c6d
8b96753d-1f7e-498f-b102-76faa7fc1061,2fadeb1d-18b0-4225-8d28-0cebf5752974
8ddbe5d0-a962-4c51-a249-9cf55a6c2a00,40b020e2-35bc-40b4-879a-f394f151b7a3
921f8702-2492-4296-ba11-c3315f76687d,eb54f4c7-d52d-490b-903d-5da869d8217d
94c8153f-01b0-42ad-b356-70f3bd64e6dc,facce7fa-9c3c-4a49-ac79-58ecbf6585ca
970bb97e-7efe-4ac7-97cf-d00b868ca0d6,08e8d683-52a3-4293-a3c9-67d507c91b97
994efbab-6adb-4953-95e8-9a323436829f,bb96c917-0e22-48a8-9624-2f2d156e5cc7
9cd24070-1dea-44f7-a7fe-e5a917db49d9,c3c6ccc3-dd15-4398-87e1-f43876cb22b7
a03b533e-b56f-410a-aa93-ab002bfcea6d,e5ee3b5d-ee38-4158-b0b6-67884332fff4
a1bf1c9f-f0ba-4af8-a05d-44ccb04a8bb0,9d38fe5c-2619-476e-8fc3-d5947a35c137
a2979f34-29cc-44a4-a1c6-36a4ab6b3651,f17ad5b8-9619-40e8-8feb-cf9edf754c7d
a3186ad1-a262-4206-a35d-9598b7f11d27,a7ba022b-6402-478d-bf7e-2d00a966cd25
a36e9ced-6550-4bcc-b37d-aa7e8a0e123e,ee8a3274-e4b8-4438-8f12-adf031a3b093
a76ab4e2-10f9-4310-9b08-fdd89441355e,c100f3b4-f26e-4603-a2f5-56a16ca77674
a806ceaa-4ec4-46c2-99c8-3f11c8cfa3dd,b98a605a-ee52-4edc-aacc-c1c02fef231a
a81c1113-d17b-46a0-85cc-7704dd582aa1,3df8e98f-da5f-4d3f-8589-c08c38774d01
a8592848-3759-4c1e-b37e-e56409254a3d,d47119b2-75b6-4ff9-b0a7-e0a72078ee49
aa5ff87e-c73a-438e-9f24-de999ba306d0,6027ba31-b999-4ae1-8010-375860856dcd
aa768b65-ed37-46f6-bc5d-7608c71abe66,94ad68fa-d5c5-4bf6-a9fd-28cac190404f
ad5a3368-f3e1-4872-8bb0-460ba65d30d2,2a60ad0a-665b-4484-9aee-cf755f09875e
ada53d46-b884-45c9-b953-c17fa183ab4b,45112bab-e342-4234-849a-54b5f2ace97b
adb96585-afda-4635-9862-398cca1d633a,80277e1b-eb4a-46ad-bb10-220dc8edfe7f
ae624b51-efc9-4011-9947-82f25fb9769a,b3039f26-0842-40ec-a0dc-d9f17872fdfc
b0127a34-291c-49de-b017-0d69c66716b2,bd2839fa-9b10-4448-8f84-ae7ad13ae0ec
b53e89ed-452c-463b-8331-fbbc0e360ed8,2678a41d-40d8-4128-92ce-0afb545f3102
b725a4e4-1384-4158-aa80-01e0eba35c44,af32dc4a-911d-437b-8f3e-d11b592914dd
b7d6a2f8-e217-4b85-a12f-ecbe75b409dd,9097ef44-d905-4e74-a63c-bea881b229de
b7ef5c30-4e4c-459c-8361-2c371359894f,b6901626-c2ff-49b9-8d12-8974e1c48a95
b868229b-4177-461a-b731-f36b95a73142,98d87f75-8fc6-44fc-9bc2-b3b033674a46
