original_RDA_identifier,equivalent_BF_identifier,date_posted_to_sinopia
fb913d0c-e046-454d-ba60-8e4e1bd5fe90,00c72310-a3d3-429f-bd42-e64cb05114eb,2021-05-10
5da0e125-c776-47b4-94e3-6d20c62763e3,0014ffa2-350d-46c4-bf74-40a8a3b7b91c,2021-05-10
a5ff0c69-2eed-4e41-9c46-70aa4973804e,048e0c04-c4c5-437c-ba8b-1d2b62b991b8,2021-05-10
bbd9f9f1-c3b6-4d91-b9f3-b3298f302aa3,00d0c3ae-e55e-4914-b5b1-62ff88430890,2021-05-10
003c0e59-9ab1-4fc2-8522-1a7b78601fef,66e8ad7b-d0c0-4678-8e7a-73db09e9439a,2021-05-11
018e4c97-fb45-4333-9e8e-6cc0584e49ac,cbc5ff2f-0652-425e-9ff8-28b6d13e2852,2021-05-11
032cba08-e735-425c-bc88-9433d2616226,70a6106d-0138-43d2-907b-94d0a4010a81,2021-05-11
0894a8b3-b110-4705-9cb4-9ae1009ab0a3,b38a0e85-9769-4eb0-acac-9168e127283b,2021-05-11
0a4ea663-988e-474b-a25e-659b935b65a9,e630f7ed-8b8f-4078-870f-d2440590c8d7,2021-05-11
0b6addf4-d44d-4502-a637-a50e70420b80,127e79c3-e19d-4089-9e1e-28674fe9692d,2021-05-11
0c687772-a7be-40e6-82c0-f00c4c59a319,bc302a12-2540-4b53-9127-f7a14f2613df,2021-05-11
0eca0437-74d5-43ee-a46e-f935800fd4a2,5b16f007-15ab-4970-8280-4d04dc23e89a,2021-05-11
1079c5c0-7ecd-4fb0-a090-f5a4bcabdf94,f67b40de-e115-42d3-a26b-be287841de70,2021-05-11
1204a5b5-49c0-40b0-b7ce-cdee99e8e54b,c17f1a38-1530-4446-a249-9edca04a41fa,2021-05-11
1383668f-9764-4092-a900-6d24dc7b6954,964addbe-d936-4b69-a890-3b362250292e,2021-05-11
15381424-2eda-4d58-ad47-b1029e784398,a7828f0d-f89a-4280-8d37-9196ae60eb4c,2021-05-11
16a61969-3b31-4e09-bba0-0319a13895d1,b9d5c0da-8c86-41be-8148-c8de6768fbd6,2021-05-11
16ac9fa7-4e65-44ca-99f0-c19931503e64,78ef406f-2e22-4fc2-b8a2-9b33f6ba28cd,2021-05-11
18435621-8e0f-4e45-b7df-890f0114d5ce,04f8a882-eac8-4817-8cc3-c0a147c8293e,2021-05-11
199fd36d-eb47-4a1a-849b-2de1549e24ea,4855decb-e61c-4d3f-8764-f64fe169a030,2021-05-11
1a09069d-8165-42ae-bfc0-f6b269b4d34b,0c649743-5192-4a5f-b195-b4fff10d5757,2021-05-11
1f90db66-a3f9-49bf-aaa0-ec3675df4027,f694ca3f-2121-445d-be1e-f578081f477a,2021-05-11
1fcacdb5-8245-4f0e-9900-0b080d38d8a2,2117c091-a398-4803-b9da-2503420e717d,2021-05-11
1ff786f6-7674-49f7-a4e3-23a15c18f398,b530efa2-bfa9-4287-8ed3-61e63d7bd595,2021-05-11
20492d30-7f5a-48fc-9857-ca975c586494,4ed75165-8e28-44c3-b921-e2ffea68da71,2021-05-11
204dc35b-d74a-45f6-ba66-ff5cbe3a75b3,11911a35-6639-4eec-8389-faf9dd8698fd,2021-05-11
20578541-d001-4b6a-818c-413ee8d77b4a,663c5408-a6a7-4030-82e9-c80d084ee4ab,2021-05-11
224f348e-85a0-4832-9d42-f779a37457da,799badaf-fd5d-46f6-9fe4-de631903ce4d,2021-05-11
2370edaa-0c6e-4d0c-baef-994235d4f86c,925db5ef-0515-4e4f-a29a-f59ce6bfd3ac,2021-05-11
2442f2d5-0841-4384-b08e-bd25c3a3d4e9,e8f984d6-e182-4c5c-88d6-7fb3139d3168,2021-05-11
24cd1b8d-48fe-43dc-95d9-d64df2032f24,e6a8a899-0c47-4475-9402-d54f4fce6b8d,2021-05-11
251393a8-33fb-44fd-827e-a75328c3fbaa,7e52c4d0-0e15-498f-957f-5de4ce693b28,2021-05-11
25406ec2-3893-45e6-b857-064fc606657d,146a1a53-99c9-41a3-8bdd-052fd4fd888c,2021-05-11
25a341e3-305a-49a9-8322-5a45a6227535,750ff629-d014-4048-be5d-01bcc24aeb74,2021-05-11
270833dc-b0e1-4402-a5fa-df97166839d0,ee0c767c-94dc-41fa-8731-21c6c621cdfa,2021-05-11
29aae6bc-a3e0-4dcd-8ef7-5340615690a2,5c53118a-51eb-46ac-b37b-7142cec016c7,2021-05-11
2b0e847a-5fad-4150-9612-aec9f9474096,0732fed2-9b0b-4b7d-a963-e770b31da0bd,2021-05-11
2be1aad1-4cae-4a38-82aa-896480e41a79,d00d37e6-0888-49bf-b47f-9c098f7ddda6,2021-05-11
2f6fce73-629b-4987-9af6-b496e4c8091c,cb5c93b1-92ac-47dd-9a95-4ec5f24cd5f3,2021-05-11
3c583cca-5a19-4774-bc93-bdcb63a34e09,1957547a-1831-4bb6-9820-0c7d8fa7ed7b,2021-05-11
3caa00f9-8660-4a48-bf78-373a235eeecb,c48cbd22-e8ee-4a68-a1fa-b16d2d81c1f1,2021-05-11
3dafb07b-ff14-4a67-b53e-822d97ad644a,793489a2-135a-4018-9e83-a90d98dbf39d,2021-05-11
3eb2f65f-7238-4b34-95ff-3fa36b67c667,63f64931-c161-4f53-b679-1a2cc4d699ef,2021-05-11
3f51c956-0a93-4dc6-b16c-cecee7693db3,7f02abb0-ab85-4f96-98db-edb78254f18b,2021-05-11
3fc91d7c-c5b9-413d-a0c0-4734672b5602,f0b01d05-10da-429b-9182-d039e6ae644e,2021-05-11
40a13f9e-9a28-4d20-91db-d6dab4284bf6,3e864cfc-dee7-4e7b-8157-65bf783dcf26,2021-05-11
420d9d87-de67-45fd-8367-e1c451ef725a,689708dd-4b01-4f3c-9dd7-e2539ff4d814,2021-05-11
4488232a-2514-409b-9a5e-95f423f1a1ae,283f4b45-f42f-4e41-a503-5faedc8d7844,2021-05-11
44978c67-bc3f-40a1-99cb-3f360ff4dde2,5887a88d-9d58-4af7-bf39-a4858fe7c026,2021-05-11
47396f92-ff77-4480-a26d-8e7c73b83043,df32498d-f0f7-42d7-a330-8ffeeb7415b6,2021-05-11
49412d8a-a5b9-4f20-b797-f78a927cacce,ea62fa58-3c69-49d9-b4e5-4a212725692a,2021-05-11
4a80857f-53bd-4aff-8ea3-29b5e936e4d4,111f123d-0d4f-4443-9c0a-821ac285a3d3,2021-05-11
5112fda2-2a63-4d0a-8b02-1e7da4ebd85b,eaa95c19-7854-4efa-ac65-edd03406a5d0,2021-05-11
53ac989d-d13d-402a-9f6c-03d165f91319,26f66d42-79af-41ed-ba05-e962dfd87fc1,2021-05-11
54c03745-0b0a-4211-8e50-c1a765be0309,0b1e4826-94bf-45be-8fc5-0eaa78fe1080,2021-05-11
54c76af5-659d-49c4-9486-18e693ccdb5a,3890f9fd-1fdb-477a-9810-f1d13f86e712,2021-05-11
563cdff1-ce5d-417e-a282-a98d710c1b14,d526a740-3d4a-42d5-afa5-37b9a33f09e8,2021-05-11
59020c14-ea04-4403-8d6b-2e3a8f48b3c7,74652103-542f-458c-aef2-56705830a1ca,2021-05-11
59122c7c-302b-4a95-9201-717356a1350b,69f9a856-32db-4443-915d-a951eacf56db,2021-05-11
5a35c300-05ca-407c-b72e-d482b9496493,851889da-4142-410c-85f7-f898dd42abc3,2021-05-11
5abb3bdf-0109-4b77-b984-f73900ae981e,9f8a2944-0de0-4f8f-9437-62194a10358a,2021-05-11
5ad4add2-2dc2-456a-ab7b-fa7678abba86,78e8eb8e-1844-4eef-b170-a4f141db5059,2021-05-11
5b20e066-5723-4067-a8e5-799342f90192,398b8d5e-c2d1-446b-9f7a-9df4f425ba7d,2021-05-11
5c8ce526-e275-4f74-93ef-0ffc56389cc5,bf046eb5-7ab9-4a0f-8cae-6f58ba5aa00e,2021-05-11
5f1dc2d1-1b6c-4c5c-a993-910c65003954,da1d8b81-4d6c-4f3d-8c6d-4471050fef99,2021-05-11
60b13770-473e-4dc9-bedf-de4e6c5130f5,99eab385-1ff1-49b3-9537-4855fc690247,2021-05-11
