original_RDA_identifier,equivalent_BF_identifier
003c0e59-9ab1-4fc2-8522-1a7b78601fef,c3ee657a-2cd8-4238-9168-08f0f52e29b4
018e4c97-fb45-4333-9e8e-6cc0584e49ac,ca183d28-667a-4a6e-99bb-4b43a061552e
032cba08-e735-425c-bc88-9433d2616226,bd13903d-a5b6-4e8c-bd9f-2809df6d8972
0894a8b3-b110-4705-9cb4-9ae1009ab0a3,bfa3c6d1-d605-4945-a6fb-db90d5170adf
0a4ea663-988e-474b-a25e-659b935b65a9,3b682e9b-54a3-464e-9bf5-80df38dc4aee
0b6addf4-d44d-4502-a637-a50e70420b80,da049b85-8fd1-48ad-b93a-5e742e210970
0c687772-a7be-40e6-82c0-f00c4c59a319,052d21c2-acaf-4d95-904f-e2c0482bd33a
0eca0437-74d5-43ee-a46e-f935800fd4a2,6acdbad6-ed0d-432b-b728-0feec283ffe5
1079c5c0-7ecd-4fb0-a090-f5a4bcabdf94,3a0d8044-7410-4337-b754-152b984032e3
1204a5b5-49c0-40b0-b7ce-cdee99e8e54b,647c64c2-1cd8-4cca-a186-3b44ab38971d
1383668f-9764-4092-a900-6d24dc7b6954,46fc595d-54da-487e-b16e-142309ed99b6
15381424-2eda-4d58-ad47-b1029e784398,6e7fd19d-4f7f-49f7-be86-3b075e3575ee
16a61969-3b31-4e09-bba0-0319a13895d1,e14a30ca-c773-4066-8467-e7211985eb58
16ac9fa7-4e65-44ca-99f0-c19931503e64,99676fc8-c3f7-427b-89ce-a68c5afb6e15
18435621-8e0f-4e45-b7df-890f0114d5ce,37f28ae3-7f67-4a6a-aebd-5a50a21f927c
199fd36d-eb47-4a1a-849b-2de1549e24ea,a080ee47-a6d4-4884-b183-ada479c2c07c
1a09069d-8165-42ae-bfc0-f6b269b4d34b,43231e8a-a77f-4f6b-b52b-c49f32cb13e5
1f90db66-a3f9-49bf-aaa0-ec3675df4027,d4db4a62-ac6e-480a-9912-4e4c6b239f4e
1fcacdb5-8245-4f0e-9900-0b080d38d8a2,985dc702-feae-462c-874b-1102e099f2ee
1ff786f6-7674-49f7-a4e3-23a15c18f398,5d77d741-7345-4b4e-9b5b-c4c8d11454c7
20492d30-7f5a-48fc-9857-ca975c586494,f4e34ec9-b866-4051-b2c2-7ba55c89d2d9
204dc35b-d74a-45f6-ba66-ff5cbe3a75b3,79446294-ca3e-4d34-b85d-e7ad93706a55
20578541-d001-4b6a-818c-413ee8d77b4a,11986afe-266c-47ca-9e82-4cd10bc0e515
224f348e-85a0-4832-9d42-f779a37457da,4ebe71b0-c638-4bc1-b30d-d136b866a1f7
2370edaa-0c6e-4d0c-baef-994235d4f86c,e4374c42-75ae-4481-bf7a-d5d4e94d3288
2442f2d5-0841-4384-b08e-bd25c3a3d4e9,472c5ebd-2e61-4275-85da-adf3782796e2
24cd1b8d-48fe-43dc-95d9-d64df2032f24,a8b8917e-5d6d-4209-b20d-0ea5f2fc8a3d
251393a8-33fb-44fd-827e-a75328c3fbaa,75089063-8f31-4d78-aa1d-48efc705a8cb
25406ec2-3893-45e6-b857-064fc606657d,ef1f813f-e626-49ba-aef0-bff4ad1b5314
25a341e3-305a-49a9-8322-5a45a6227535,b5f7a3f1-b844-444a-944f-82297c219380
270833dc-b0e1-4402-a5fa-df97166839d0,b3cf61d1-61d8-456a-9c9c-7e027a0289cd
29aae6bc-a3e0-4dcd-8ef7-5340615690a2,247ff4b4-54bc-44a5-af49-67e919a88889
2b0e847a-5fad-4150-9612-aec9f9474096,4946fca1-52f4-4042-b03b-882526691cf8
2be1aad1-4cae-4a38-82aa-896480e41a79,f0c7c035-f7f4-4e17-8958-ad899b5dfd68
2f6fce73-629b-4987-9af6-b496e4c8091c,574a1859-cb5c-4737-9dda-f7303511afac
3c583cca-5a19-4774-bc93-bdcb63a34e09,2d5b4e56-c55e-46f3-beac-8af45d904662
3caa00f9-8660-4a48-bf78-373a235eeecb,84f2fff9-efb4-415a-8101-5bcfc54d4cbf
3dafb07b-ff14-4a67-b53e-822d97ad644a,97f92028-369e-4cb3-917b-295e16149463
3eb2f65f-7238-4b34-95ff-3fa36b67c667,5655b951-4ec3-4f7f-8aa4-b134a40a275d
3f51c956-0a93-4dc6-b16c-cecee7693db3,54fb05dd-0cfc-4efd-a532-fd0426391296
3fc91d7c-c5b9-413d-a0c0-4734672b5602,5a7d3472-e628-418d-a9a8-fcb0608c453c
40a13f9e-9a28-4d20-91db-d6dab4284bf6,881dd622-932b-4c3f-8d20-1067fc2d3778
420d9d87-de67-45fd-8367-e1c451ef725a,c10410a6-404a-484e-a900-15fdfa1e1ad3
4488232a-2514-409b-9a5e-95f423f1a1ae,236eecc9-d6fa-4f0b-ae07-6c01909f4055
47396f92-ff77-4480-a26d-8e7c73b83043,18f096dd-132e-4c47-b3a8-e4ca6e65c458
49412d8a-a5b9-4f20-b797-f78a927cacce,121e1298-33c5-4250-b7e3-a4735cbdc53d
4a80857f-53bd-4aff-8ea3-29b5e936e4d4,cdf1686e-709a-4a63-9e10-256a85e522d2
5112fda2-2a63-4d0a-8b02-1e7da4ebd85b,13f48a8b-f80f-49f2-948a-0f98dcca1023
53ac989d-d13d-402a-9f6c-03d165f91319,f533430f-086c-4582-b1ca-9ebb58629729
54c03745-0b0a-4211-8e50-c1a765be0309,a15c61cd-f694-4379-966e-794f44d9d960
54c76af5-659d-49c4-9486-18e693ccdb5a,b94eb924-911b-4ec6-ae75-1fde4e559720
563cdff1-ce5d-417e-a282-a98d710c1b14,d2a18650-75f7-4914-905b-b86712fea9bd
59020c14-ea04-4403-8d6b-2e3a8f48b3c7,ce5683a6-602f-493e-b54d-e7e64ea346c0
59122c7c-302b-4a95-9201-717356a1350b,f2c1b285-0f5f-4455-b28d-04132647281c
5a35c300-05ca-407c-b72e-d482b9496493,c29a50b7-0e8b-4d6b-9063-bf99d784a984
5abb3bdf-0109-4b77-b984-f73900ae981e,f799fef2-600d-43c3-ac59-709a10c92f12
5ad4add2-2dc2-456a-ab7b-fa7678abba86,789519ee-585b-47a2-996e-a480e40db64a
5b20e066-5723-4067-a8e5-799342f90192,49d6c87d-1366-47cb-873d-6cc4cba86907
5c8ce526-e275-4f74-93ef-0ffc56389cc5,70b23f93-c920-4683-a5dc-3927f6e986fe
5f1dc2d1-1b6c-4c5c-a993-910c65003954,4e72087b-0664-4dd6-9b22-eb8f279f4cc4
60b13770-473e-4dc9-bedf-de4e6c5130f5,497da6fc-129d-43d6-9540-24cf70c9e9f2
61231191-9b85-4ba4-aa90-42a64e6bac9c,13bfd021-45e7-4fd9-bd35-a037a54cd692
64af3c0e-5fdd-4727-b207-2b7beeaeabf4,f5e5100f-d272-409b-a037-1eaf958c9497
66de3ff5-2b1c-41b6-a25b-8a30b6a2b69f,f3bbec88-4896-4baa-9d52-ffa51f3847ac
6997f169-0deb-4355-b64e-5485fe4a48b8,ee7ceb83-6ff5-4046-982f-f64364f4ee79
6a36c334-c396-4dbb-b7da-9edf8de7a2ce,7f1469a9-f18a-4467-96b0-542179d4e855
6b974e4c-0d1d-4a7a-b750-a5d4cb54ffd9,9bbd0b39-d217-44b9-b590-4850c0ffca60
71b26abb-43ba-412e-a965-67e06fefedc2,122773f5-64d5-435a-bd05-f2a9f466862f
7580672d-ace4-4a41-b89a-8a0b8631e586,3806fe36-2cbe-40e1-848f-ab6c1cad6c19
7931f622-717d-43ae-8121-ccffd0e47149,56b46c61-29a9-41c2-a83b-837ecfd8b528
7a9c8d69-4c3c-468c-aab9-0bee9026d145,0f75e804-70f1-46cf-a037-660802205a46
7cffe198-f453-409b-b985-9d5660c7272c,e4a0aae3-005b-488d-bd54-bf12f11c6eb0
7e1f6ae6-a6b0-493c-aeb1-a1fab52be1e9,85954cb0-48fb-4bac-b7d9-f513a23db35e
7e72cdce-2517-4bd5-be85-5836273f0e31,24cca003-5bcc-4f77-9296-37d9dee2e3ab
7f1ae484-c6e1-424e-9e18-a91e1c345161,9a5a0c8e-ba2a-46fd-aedd-4fcb296589e5
82f4a21f-79c9-4370-b40e-16dd363466bf,a71d36ae-267e-448f-99ba-fcda6846f868
86f61d7c-2742-4716-bb0f-9f2b82111548,b5c576d4-340f-4ed1-964b-a91b18f46c2e
877155d9-bc9f-437f-991a-8a232932f580,8c36b1ff-5091-4168-b5ae-1812f2cbe209
88ae0700-dd55-4089-add1-314469a85c12,461749d6-42f0-4591-a425-3054e8d22f26
897e29fe-4ad6-4692-a890-f6657971ce22,5d843bc7-d7b8-47ea-8e71-4bd1389c15b3
8a0d5042-8b2d-4287-b228-612e456f0fe5,b5976c16-a954-494d-a668-03e2bf183293
8ab49fc5-0df2-4ee3-8c63-69cf51cf65b8,b03c72a8-a6c2-4d82-9008-c4457758b3b1
8b96753d-1f7e-498f-b102-76faa7fc1061,c716a48d-1716-499b-90d6-9f59a69b171e
8ddbe5d0-a962-4c51-a249-9cf55a6c2a00,c61d3d88-c952-4e36-b113-9d78194eb851
921f8702-2492-4296-ba11-c3315f76687d,21e4c8e4-88d2-4979-960d-98fd47eb7c18
94c8153f-01b0-42ad-b356-70f3bd64e6dc,82b4e26d-5478-4992-a4c7-f10744325e12
970bb97e-7efe-4ac7-97cf-d00b868ca0d6,d2e1d922-1097-40ba-94bd-529a4941a5e2
994efbab-6adb-4953-95e8-9a323436829f,e494b722-7acb-4540-9ed0-6397a2f616cc
9cd24070-1dea-44f7-a7fe-e5a917db49d9,d27cdb2a-d0fd-44ed-8095-e201d34fbf7c
a03b533e-b56f-410a-aa93-ab002bfcea6d,cca6e72a-e5f6-4fe2-a4f6-549e7acb50d3
a1bf1c9f-f0ba-4af8-a05d-44ccb04a8bb0,88976374-28c9-4fad-839f-c58873fea010
a2979f34-29cc-44a4-a1c6-36a4ab6b3651,1bad5ac6-b239-449d-82aa-19cf7d0abee7
a3186ad1-a262-4206-a35d-9598b7f11d27,c2e63ee2-783d-4623-ba06-cf0d39d8d280
a36e9ced-6550-4bcc-b37d-aa7e8a0e123e,2181744c-5050-4c53-973b-ac89d1e86a75
a76ab4e2-10f9-4310-9b08-fdd89441355e,6798b8f3-b335-4833-9898-7d0d0f758605
a806ceaa-4ec4-46c2-99c8-3f11c8cfa3dd,35b99391-f215-47f9-864b-8a1a97e5d7b4
a81c1113-d17b-46a0-85cc-7704dd582aa1,184efd83-5736-4ace-ab87-d888ff1af57d
a8592848-3759-4c1e-b37e-e56409254a3d,4de91b8c-574d-43da-9d5c-f89a886375b9
aa5ff87e-c73a-438e-9f24-de999ba306d0,3f898fa4-8c80-4832-b7d0-4b995a95f43e
aa768b65-ed37-46f6-bc5d-7608c71abe66,a6b16103-b29d-4ba8-b3a3-c75fae4a5dfe
ad5a3368-f3e1-4872-8bb0-460ba65d30d2,c01db1bf-6149-4647-bc46-cbedf5dcf70a
ada53d46-b884-45c9-b953-c17fa183ab4b,2e1c8dca-2dc6-48fa-a85d-65852952bd51
adb96585-afda-4635-9862-398cca1d633a,27c85ca7-08fc-46e9-beea-7e50d52526b7
ae624b51-efc9-4011-9947-82f25fb9769a,5e8707a0-3436-4cfb-a7a2-8b411d594de5
b0127a34-291c-49de-b017-0d69c66716b2,be31895c-60d9-488f-b9f4-be042e22bc4c
b53e89ed-452c-463b-8331-fbbc0e360ed8,68cc244f-430c-43d2-ad23-88075ecf3cfc
b725a4e4-1384-4158-aa80-01e0eba35c44,8c9f7e6d-bcdb-4c2f-8147-e0fb313f71db
b7d6a2f8-e217-4b85-a12f-ecbe75b409dd,64daa8a2-3e5d-4e2c-a505-d5d1b7035a75
b7ef5c30-4e4c-459c-8361-2c371359894f,6191fc0d-696e-4665-8ea0-3421a0bb0af9
b868229b-4177-461a-b731-f36b95a73142,8955ac7b-82f4-4872-9860-947e908b09f4
b8a70189-1a6b-4efd-99f1-0674a65052ee,412ad3af-8ece-4121-976a-473723034c04
ba22d3e6-96c1-4538-ad95-ed3f3e3d8fdc,5e2d3ea7-b12a-4521-b16f-3803ddb7db63
bd6c8ad6-677e-4557-8877-cb387e7cbf8a,65534ac5-b706-4664-9da7-37a4f41da995
bd9d343d-229d-49b9-9eb1-34367dcbfada,58e85b21-322d-4548-8b60-e2cfcac7e266
beda6563-6c55-4732-b383-713deafcfc73,f09ac4c0-c0a3-45fd-aa29-256cb332d9a1
c2ca5abb-e85c-44ba-8403-0a53246fe27b,78bd3010-8330-49a5-9799-e87a7932d389
c37c7bef-54c3-445e-89b3-3fef71f350eb,f05f66f7-9e98-44b7-a355-e9b0d54cec73
c5ed4800-ab25-4fe6-804a-7bc84f67e719,3c5d5610-1918-476a-aa7c-95cd4aa83722
c6edd386-5262-4bac-b6db-e1641879ed06,d7028c7a-ff24-432f-9729-3b7c7d11afbf
c83130f0-b914-4db0-979c-67db73330f0c,3ac06592-7239-4a18-bfbc-40a3bfdc44f7
d02e409c-bd11-4769-a3b8-b4f2242d4f82,2916e31d-9339-4c46-b0b1-72e9fc815e0c
d0d9f78e-05f1-4594-bdcb-b396ce68f618,7f8314f2-aa49-4fca-a554-bb6c732ca4f5
d72465eb-d1dc-4ee4-a30d-062c033bfbe3,8ca95fe5-3b8c-41f0-bf06-7d7b090df90c
da71d823-03f2-4122-8d5d-3e38df134370,1c7b277d-eac8-4499-8e0d-fbda78980cb9
daf92166-946e-406c-87c9-8466add886b9,5a890909-e797-45e6-a2f3-8696c7b838fd
dc28450a-35ec-4474-9793-689a582100a0,634ac308-325b-4932-b4b3-1f2757724218
dd6d4c68-3985-41a1-a866-022326d8d063,214c0d68-a2c2-4e53-9051-731180cb62f8
ded38c40-6e3e-4069-9849-2c29e769e8cf,5dfbaf5a-bfd1-42a7-ba1c-887504c56eb6
dfd296d8-6760-4d16-809c-cc40b425d06b,cd997cc7-86a6-45e1-85be-0a21c85720c7
dff80804-5b2a-4d65-bbc9-7ebb0c01fd13,91db1a04-7baf-4e6e-9483-813ab35108a6
e01ddea9-54f1-4835-a049-f70e64c888fc,5fa4f232-79fb-43a0-ae1e-9b0c7dc409f0
e357057e-1dea-4835-a404-518c1d4b7305,827e47eb-55d7-45dc-a974-dc428042f80d
e4ae0441-d2af-43e0-92c1-8a986d646162,51dacc88-edd5-48e0-a233-aa57fb6095e6
e5791eca-d02a-4237-911b-ad8e837f55be,6f6c4fad-21f1-4b41-8585-a9cacc202c87
e66461ad-b82a-4d13-adca-4ee58e3cd231,cfcfcdb4-bb7b-4506-b226-0ef2922fb613
eb572713-b9fc-4090-bf89-c8493678f694,40e489e9-bf3c-47dc-bb65-4d721cf2ce80
ebd029ad-b852-4fa2-bba6-abcffeff8e4c,ea96f488-81a4-4178-91d5-b3e58ed96471
f015312e-8959-4f63-abc9-6f207aede0f1,2862b1c2-934b-408e-abf8-64ca368994fd
f04b52bf-fb1d-4189-a75f-7f5ed86bf543,0856ccfa-8f43-42c0-b255-bab607eba72f
f0658123-0bae-4399-8fd7-c2404bcdc005,71c08259-aa82-42c9-a82d-5acd6e79ea7f
f3b38747-4060-445b-9b2c-52408cc16124,e0aad155-97ba-4f75-8842-02b1a5a0fbcd
f71fc6f3-f28c-4d10-a7b1-74379732d815,8940e016-9061-4ae7-ab66-ef37de56bce2
f74fb1b0-b7f7-448f-ba77-61dd753f43b7,4171b773-569d-45ef-ac98-6eb692582efe
f95dad1f-f7f3-430e-b817-8fa9f9db8faa,8a338d8f-839c-467d-8d32-c20df2a6af97
face7c36-b484-4966-93ef-b7e99a783e28,325c8a25-453e-4155-9319-07677977e67e
fb913d0c-e046-454d-ba60-8e4e1bd5fe90,768e3282-6fb8-4044-b7ea-2b6c9d1f29fa
fbd8619d-f725-4991-8c72-8e47101489d8,e7b9e031-8faf-4a71-a2e4-ac262a80d99f
fe9935a9-172e-4f4d-bafa-c7cc79894c71,68d00021-26e1-47c6-9cb4-4824a2c104c7
02c8be46-235a-4bbc-b18d-85065829236d,8ee8a475-75f5-4629-9373-f16e3da3e2fe
02fc5cda-9c05-4cf1-b634-382f76522b57,416a871b-9782-46ef-90dc-6be1f6724ef7
0409bd3c-3127-479c-b698-43d31c06546c,838e595f-5505-4b44-bce2-9a0c11a3ced9
055719b8-ddee-48b8-aad0-3553d0752168,29244632-9727-4c78-81be-150d0ef6e49e
0a8385c4-35ad-4640-a702-0e285625eefb,0d81fc72-cbf3-43ef-8e86-082b870f196e
0a873285-d181-4eb9-b2f0-17fadb2e583a,0ca595e5-febc-49d2-a245-1c6c10aad918
0e468b37-033d-4ebe-85cf-5cdad4da9abd,30edf106-a7ca-4a69-947a-77a561fd21ae
0fdb4413-f1ca-4f14-b60b-06156c4e0c8d,b1e868b2-48af-482a-bd52-425759e65c60
121557a5-5cf7-40a0-9b02-8779f201df38,46b08a38-bddf-41a6-be37-b50886b1d5ac
1225f60f-601a-4828-b0a2-5d406e9343c2,e12723df-dc58-4fa9-afc1-e2650e310c03
17d1cc4b-9d87-4ee0-9568-36a23dee7385,1a93aea0-feda-461b-857f-ae48aa3cbcb2
17d556c7-3b45-4903-ac30-d74ddc57718a,d57c902f-f1a6-40bc-b559-37d475a88850
19e8abd4-f1e4-47b6-afa0-7da404615a17,a1af574f-70f8-4b46-8867-94c558a66268
