original_RDA_identifier,rda_entity,equivalent_BF_identifier,bf_entity
003c0e59-9ab1-4fc2-8522-1a7b78601fef,work,35c3b8d3-43a5-47c5-bb28-d854d860c2d7,work
018e4c97-fb45-4333-9e8e-6cc0584e49ac,work,37847e11-d379-4bfe-8d6c-5daa797b95d8,work
032cba08-e735-425c-bc88-9433d2616226,work,675b15df-464e-4eb8-b870-ce8d9d2ac5af,work
0894a8b3-b110-4705-9cb4-9ae1009ab0a3,work,41446cd9-a572-4567-8de6-6ee787c38859,work
0a4ea663-988e-474b-a25e-659b935b65a9,work,5d589839-60df-4bad-b549-aa9fd6c288ef,work
0b6addf4-d44d-4502-a637-a50e70420b80,work,aab9f851-c2b1-4a9a-8925-2376f60d245b,work
0c687772-a7be-40e6-82c0-f00c4c59a319,work,2f1bbee1-f6a2-4869-a96e-bfa626e64c50,work
0eca0437-74d5-43ee-a46e-f935800fd4a2,work,2eb9175c-85f2-47a3-820c-a6c908374c05,work
1079c5c0-7ecd-4fb0-a090-f5a4bcabdf94,work,464c1bfa-605d-4543-a79c-939776590a04,work
1204a5b5-49c0-40b0-b7ce-cdee99e8e54b,work,05cceec6-7e04-4167-a273-25475ba92ed9,work
1383668f-9764-4092-a900-6d24dc7b6954,work,0ed12cc4-52f9-4684-b920-9e278e3a104b,work
15381424-2eda-4d58-ad47-b1029e784398,work,50088531-4f25-4bbd-9a71-7d9c08ec1c0a,work
16a61969-3b31-4e09-bba0-0319a13895d1,work,e36ef426-6ae7-4fb5-9079-d5aa9fa322b2,work
16ac9fa7-4e65-44ca-99f0-c19931503e64,work,bdc1efc8-d98a-4cd8-9277-63e9e732a380,work
18435621-8e0f-4e45-b7df-890f0114d5ce,work,1511a54f-2b97-44c5-94d7-3c4585c1359f,work
199fd36d-eb47-4a1a-849b-2de1549e24ea,work,b1c5b87c-b715-4a79-9fc6-9af12d2d8f5a,work
1a09069d-8165-42ae-bfc0-f6b269b4d34b,work,3ae723b2-2660-4e14-a4aa-a423025954de,work
1f90db66-a3f9-49bf-aaa0-ec3675df4027,work,172c240d-8df6-42c2-bdde-d48e91528ddd,work
1fcacdb5-8245-4f0e-9900-0b080d38d8a2,work,a37c6802-2ab2-46a9-938b-271477b5b1b0,work
1ff786f6-7674-49f7-a4e3-23a15c18f398,work,f2a411f1-caba-4f8f-9306-0735e0136708,work
20492d30-7f5a-48fc-9857-ca975c586494,work,0d79dd67-c6dc-4f85-9675-f4d61fbd57be,work
204dc35b-d74a-45f6-ba66-ff5cbe3a75b3,work,d4b5b82c-2477-4fa6-8afb-f6d844b45d52,work
20578541-d001-4b6a-818c-413ee8d77b4a,work,26bd50fd-8f91-460a-8b02-29e615107705,work
224f348e-85a0-4832-9d42-f779a37457da,work,30cc1a2a-c71c-41bd-8d9c-a03881fb5c28,work
2370edaa-0c6e-4d0c-baef-994235d4f86c,work,2f1c1286-62f4-4cb4-9de7-6cd1dc99ea01,work
2442f2d5-0841-4384-b08e-bd25c3a3d4e9,work,10d56013-431e-4c52-8d1a-36da823de3c7,work
24cd1b8d-48fe-43dc-95d9-d64df2032f24,work,d7017980-3e1f-47ab-abe2-484f8cd3419c,work
251393a8-33fb-44fd-827e-a75328c3fbaa,work,9afdb89e-a823-4b5f-b35c-933f9d735389,work
25406ec2-3893-45e6-b857-064fc606657d,work,126f6c11-8f47-4e9f-979b-7688fee849db,work
25a341e3-305a-49a9-8322-5a45a6227535,work,0b701713-ac19-4946-9235-f0a5518d8fed,work
270833dc-b0e1-4402-a5fa-df97166839d0,work,c2f3a314-1968-4182-805f-af35cec3203d,work
29aae6bc-a3e0-4dcd-8ef7-5340615690a2,work,b332cdb7-5c88-4acb-b174-e5f373181996,work
2b0e847a-5fad-4150-9612-aec9f9474096,work,81c090be-3200-4d2c-bf84-bb2c94d2929d,work
2be1aad1-4cae-4a38-82aa-896480e41a79,work,da4ad48f-f1b4-4b39-a662-25e7787c0ce2,work
2f6fce73-629b-4987-9af6-b496e4c8091c,work,c4ed2607-9022-4b85-a30b-aca78b962a6c,work
3c583cca-5a19-4774-bc93-bdcb63a34e09,work,f10b793f-84da-4980-bbe3-4fceca8ea133,work
3caa00f9-8660-4a48-bf78-373a235eeecb,work,10fb7edc-de13-4eb3-bfa5-e343674f00d6,work
3dafb07b-ff14-4a67-b53e-822d97ad644a,work,620c4844-f727-43e9-88b4-c94e9cc87a7b,work
3eb2f65f-7238-4b34-95ff-3fa36b67c667,work,91f78a14-8364-4eae-a0ec-80665e08b9c3,work
3f51c956-0a93-4dc6-b16c-cecee7693db3,work,6e895038-c433-4111-babe-d36c6c1d4246,work
3fc91d7c-c5b9-413d-a0c0-4734672b5602,work,022d9b95-8efb-4738-8d29-83b2a478bac9,work
40a13f9e-9a28-4d20-91db-d6dab4284bf6,work,7cc5ccb9-77dc-4c45-8f0c-d4626d2d23d5,work
420d9d87-de67-45fd-8367-e1c451ef725a,work,6b8ee785-a603-4b4d-a176-261c6d7c59be,work
4488232a-2514-409b-9a5e-95f423f1a1ae,work,6e801f8f-309e-448c-8a79-3f8e647573ea,work
47396f92-ff77-4480-a26d-8e7c73b83043,work,af32cdf0-c91e-4fe0-aefb-b114c6bfc645,work
49412d8a-a5b9-4f20-b797-f78a927cacce,work,09727c05-aab1-4042-82c9-4b57e3afbe0e,work
4a80857f-53bd-4aff-8ea3-29b5e936e4d4,work,25998c4c-c22d-4399-9ba1-bab50ceaf853,work
5112fda2-2a63-4d0a-8b02-1e7da4ebd85b,work,1eac7009-cb62-441a-9d12-98e7b6050157,work
53ac989d-d13d-402a-9f6c-03d165f91319,work,dac809df-a3d2-4e02-bd5a-397d363908bb,work
54c03745-0b0a-4211-8e50-c1a765be0309,work,52e667dd-f159-494d-884d-24eb3756f517,work
54c76af5-659d-49c4-9486-18e693ccdb5a,work,fe7a9aea-8cd4-4e15-85ea-17bcf4806403,work
563cdff1-ce5d-417e-a282-a98d710c1b14,work,6cf3483b-d16c-41d1-bbb3-7e3696693b78,work
59020c14-ea04-4403-8d6b-2e3a8f48b3c7,work,cb730bde-269f-45ff-a2c6-e22be0c1554e,work
59122c7c-302b-4a95-9201-717356a1350b,work,9cfb7647-973e-405a-91c0-fd442cbe2b2a,work
5a35c300-05ca-407c-b72e-d482b9496493,work,813e6878-5225-4957-aeee-b90364c9c631,work
5abb3bdf-0109-4b77-b984-f73900ae981e,work,9dad3ebe-e2a5-4262-91f2-2319dec6720b,work
5ad4add2-2dc2-456a-ab7b-fa7678abba86,work,7bc87dce-c6c4-4879-8b18-4ba556ce12e9,work
5b20e066-5723-4067-a8e5-799342f90192,work,9dba2e8f-f0a5-46ed-a115-5e2e58867a2b,work
5c8ce526-e275-4f74-93ef-0ffc56389cc5,work,20bc3e7e-8d2e-44a9-87e2-14c73c7ef864,work
5f1dc2d1-1b6c-4c5c-a993-910c65003954,work,2c38d30b-863f-4cf0-9bdf-2d3fe8e9cd0c,work
60b13770-473e-4dc9-bedf-de4e6c5130f5,work,0e6d1b8c-13ea-4d63-a300-26859694fa00,work
61231191-9b85-4ba4-aa90-42a64e6bac9c,work,6685423a-d537-4d03-b47f-77ce88a4a5bd,work
64af3c0e-5fdd-4727-b207-2b7beeaeabf4,work,8f135dbc-d5dc-4394-8092-45c691eecd9a,work
66de3ff5-2b1c-41b6-a25b-8a30b6a2b69f,work,8812decb-d977-4c81-9c65-e4ea24469031,work
6997f169-0deb-4355-b64e-5485fe4a48b8,work,a1185be9-63ae-4dfa-a3ca-4557f1620a2f,work
6a36c334-c396-4dbb-b7da-9edf8de7a2ce,work,36d7d2dc-8977-4635-b616-142aed1d7699,work
6b974e4c-0d1d-4a7a-b750-a5d4cb54ffd9,work,1d3fd762-cdce-4ed8-afb1-d9b8576c4a83,work
71b26abb-43ba-412e-a965-67e06fefedc2,work,86bfeda9-68c3-41ad-847f-a726e98206de,work
7580672d-ace4-4a41-b89a-8a0b8631e586,work,83410479-4a41-4066-a0f4-106f3f697e69,work
7931f622-717d-43ae-8121-ccffd0e47149,work,1bec67dc-503b-493f-85ab-7833f72f2256,work
7a9c8d69-4c3c-468c-aab9-0bee9026d145,work,bda6c263-485f-4647-a427-2075339c8fdf,work
7cffe198-f453-409b-b985-9d5660c7272c,work,ab0b83b7-d8d7-4eba-a68f-87c0767cda2c,work
7e1f6ae6-a6b0-493c-aeb1-a1fab52be1e9,work,9471633d-a95b-4ac6-8396-8c68526efe9f,work
7e72cdce-2517-4bd5-be85-5836273f0e31,work,2aeae01b-5b39-4bb0-a189-d8a51161cf01,work
7f1ae484-c6e1-424e-9e18-a91e1c345161,work,143004ef-9dca-4813-8fbc-6e6d4d7859a2,work
82f4a21f-79c9-4370-b40e-16dd363466bf,work,857e2bfc-ee88-414a-b8a2-c0695726eedc,work
86f61d7c-2742-4716-bb0f-9f2b82111548,work,a96fb2a6-c4bb-4e8f-ad04-24070de3b3d9,work
877155d9-bc9f-437f-991a-8a232932f580,work,d1445950-d4a0-4ca5-9682-3a3ed885cfcf,work
88ae0700-dd55-4089-add1-314469a85c12,work,eee1f86a-1a2f-4216-a8fe-7937846d7111,work
897e29fe-4ad6-4692-a890-f6657971ce22,work,73d6f32c-fc8a-4d10-a67a-73095fc5a464,work
8a0d5042-8b2d-4287-b228-612e456f0fe5,work,af78b0d6-5a9d-495c-aaf7-e9adf854ec33,work
8ab49fc5-0df2-4ee3-8c63-69cf51cf65b8,work,ea8660e2-cbe7-4617-bdbe-7fc125bc6636,work
8b96753d-1f7e-498f-b102-76faa7fc1061,work,8e1fbaa6-34fe-4920-b73f-0c111edb059e,work
8ddbe5d0-a962-4c51-a249-9cf55a6c2a00,work,64b4d3cb-c99c-47ac-afb0-c6eaa2c47b0e,work
921f8702-2492-4296-ba11-c3315f76687d,work,cc80352e-97fe-43ff-8420-da63a502bd0d,work
94c8153f-01b0-42ad-b356-70f3bd64e6dc,work,29f568a2-74f0-485a-acaa-f63b49514079,work
970bb97e-7efe-4ac7-97cf-d00b868ca0d6,work,7117e690-f6a8-46d0-8817-f17ca5eaef92,work
994efbab-6adb-4953-95e8-9a323436829f,work,8aa88043-471a-43a6-9566-893aea0a65b2,work
9cd24070-1dea-44f7-a7fe-e5a917db49d9,work,f46aa687-48f4-4d58-95f8-3f3ba74c9915,work
a03b533e-b56f-410a-aa93-ab002bfcea6d,work,fc9a091a-b0ad-4624-8d16-44737e48aa6c,work
a1bf1c9f-f0ba-4af8-a05d-44ccb04a8bb0,work,40147911-a4ab-484a-947d-ae3e7a5e8c58,work
a2979f34-29cc-44a4-a1c6-36a4ab6b3651,work,cefd594a-af01-443c-81d3-35bcbdbc1a63,work
a3186ad1-a262-4206-a35d-9598b7f11d27,work,aabe2bb9-9ad3-4e06-a060-c695e35a8dce,work
a36e9ced-6550-4bcc-b37d-aa7e8a0e123e,work,47b37cf1-e87e-4d52-a495-b3ec320da02a,work
a76ab4e2-10f9-4310-9b08-fdd89441355e,work,e36f1f7e-2590-4a04-8c83-96ad0e76abad,work
a806ceaa-4ec4-46c2-99c8-3f11c8cfa3dd,work,5238bba4-23ac-40f5-93de-43cbb5c9516a,work
a81c1113-d17b-46a0-85cc-7704dd582aa1,work,83d74edf-d2cb-4965-8871-5bf711933318,work
a8592848-3759-4c1e-b37e-e56409254a3d,work,2ec3d9e2-6074-4258-b8fa-aec0ebed3b47,work
aa5ff87e-c73a-438e-9f24-de999ba306d0,work,a37185c8-b4a3-49f7-ba69-6fdcdddce116,work
aa768b65-ed37-46f6-bc5d-7608c71abe66,work,615e7e8f-e4b5-47da-8ed9-e464fd215960,work
ad5a3368-f3e1-4872-8bb0-460ba65d30d2,work,26ec8745-ca05-4430-97dd-7b94930ec09a,work
ada53d46-b884-45c9-b953-c17fa183ab4b,work,a07eb65f-ca50-45ba-90d0-b4d045541061,work
adb96585-afda-4635-9862-398cca1d633a,work,58670032-f621-4c77-b5c6-202e1073062d,work
ae624b51-efc9-4011-9947-82f25fb9769a,work,616a7d14-da5d-4dda-9c64-b4a6140a7afa,work
b0127a34-291c-49de-b017-0d69c66716b2,work,37ead39d-a5d6-4ad7-b18f-ca1b882acd7d,work
b53e89ed-452c-463b-8331-fbbc0e360ed8,work,bfff3899-8d9a-4bc7-8dbd-59a3c7330b88,work
b725a4e4-1384-4158-aa80-01e0eba35c44,work,7b7f55da-a2b8-4d15-a7b6-adf704116206,work
b7d6a2f8-e217-4b85-a12f-ecbe75b409dd,work,945f53ab-9866-43be-b0ad-3a32cc13b142,work
b7ef5c30-4e4c-459c-8361-2c371359894f,work,656bf3b1-ca47-4081-8586-63a5d18ad84b,work
b868229b-4177-461a-b731-f36b95a73142,work,939e25e4-8605-4416-b112-dc4fb380c463,work
b8a70189-1a6b-4efd-99f1-0674a65052ee,work,22f6f0c3-1dba-4954-b27e-4dcfcd514279,work
ba22d3e6-96c1-4538-ad95-ed3f3e3d8fdc,work,a55a4737-683b-4ab3-8d74-86f48ce160d9,work
bd6c8ad6-677e-4557-8877-cb387e7cbf8a,work,8f95b0dc-15bc-4389-8f6e-333d89ed4053,work
bd9d343d-229d-49b9-9eb1-34367dcbfada,work,f093c4fe-5dd2-4973-b75e-ea2069549845,work
beda6563-6c55-4732-b383-713deafcfc73,work,b75d68ee-a7d4-453e-9c19-cc48052313ae,work
c2ca5abb-e85c-44ba-8403-0a53246fe27b,work,29ae2b42-24e9-44aa-a2eb-3e0616588b16,work
c37c7bef-54c3-445e-89b3-3fef71f350eb,work,3015a06f-c4f5-44e1-bd9e-c9771a3b97a9,work
c5ed4800-ab25-4fe6-804a-7bc84f67e719,work,2c38d53e-b8bb-4d58-a67f-caf76362cb6a,work
c6edd386-5262-4bac-b6db-e1641879ed06,work,1ae71691-c195-4621-ba70-1dab686b7eae,work
c83130f0-b914-4db0-979c-67db73330f0c,work,0281b241-a1e1-43fa-bac3-b8d17dd2268e,work
d02e409c-bd11-4769-a3b8-b4f2242d4f82,work,2b5a51ff-d051-4e58-85ab-7bb813ceac86,work
d0d9f78e-05f1-4594-bdcb-b396ce68f618,work,806167dc-f3ae-4b5d-9069-be04e9802a7b,work
d72465eb-d1dc-4ee4-a30d-062c033bfbe3,work,b323d68d-9a80-41cf-84c2-5ac3d204b18b,work
da71d823-03f2-4122-8d5d-3e38df134370,work,0e9e10a7-358c-4576-a0c6-cd5c733ca8e4,work
daf92166-946e-406c-87c9-8466add886b9,work,8c7facc3-6aa0-4732-826f-9a74daa03296,work
dc28450a-35ec-4474-9793-689a582100a0,work,c2cccf2c-5e60-4cd9-a7be-40ceae907ce7,work
dd6d4c68-3985-41a1-a866-022326d8d063,work,6f88532c-adfe-4dda-acff-b50985658ac4,work
ded38c40-6e3e-4069-9849-2c29e769e8cf,work,10d19d21-260c-43df-8ce4-b87564e49c36,work
dfd296d8-6760-4d16-809c-cc40b425d06b,work,70307b21-da4a-409e-8e83-4d6b46791124,work
dff80804-5b2a-4d65-bbc9-7ebb0c01fd13,work,ed605295-8585-43d1-a9d1-7a784053a8bb,work
